Módulo,Aula
Comece Aqui,Boas Vindas - 1 minuto
Decolando sua Carreira,Bem-vindo ao módulo que vai transformar sua carreira!
Decolando sua Carreira,Mercado de trabalho (perspectivas, salários, atuações em outros países)
Decolando sua Carreira,Habilidades necessárias para trabalhar com dados (soft e hard skills)
Decolando sua Carreira,Papeis e Funções na Área de Dados
Decolando sua Carreira,O impacto da análise de dados nas organizações (empresas que usam versus empresas que não usam)
Introdução à Linguagem R,Linguagem R: Origens e Aplicações
Introdução à Linguagem R,A Estrutura Em Volta Da Linguagem R
Introdução à Linguagem R,Instalando o R
Introdução à Linguagem R,Comunidade R, a Empresa Posit e Pacotes Open Source
Introdução à Linguagem R,O RStudio: Posit Cloud, RStudio Server (Workbench), RStudio Desktop
Introdução à Linguagem R,Projetos, Scripts e Pacotes no RStudio
Introdução à Linguagem R,Transformação de Dados com o Pacote dplyr
Introdução à Linguagem R,Leitura de Dados CSV no R
Introdução à Linguagem R,Leitura de Dados de Excel no R
O Essencial de Git,Introdução ao módulo
O Essencial de Git,Conceitos iniciais
O Essencial de Git,Branches no GIT: Como é o fluxo de trabalho ideal
O Essencial de Git,Instalando GIT e criando conta no GitHub
O Essencial de Git,Como criar um repositório no GIT e subir no GitHub (usando interface VISUAL)
O Essencial de Git,Criando repositório local e subindo para o GitHub (na LINHA DE COMANDO)
O Essencial de Git,Trabalhando de forma colaborativa: branches por funcionalidades e resolução de conflitos
O Essencial de Git,Comandos extras: git pull e uso do git reset como emergência
O Essencial de Git,GIT: próximos passos para você
Básico de SQL,Bancos de Dados Relacionais
Básico de SQL,SQL: A Linguagem dos BD's Relacionais, suas variações e usos para Cientistas de Dados
Básico de SQL,Principais comandos SQL - Parte 1
Básico de SQL,Principais comandos SQL - Parte 2 - JOINs
Básico de SQL,Principais comandos SQL - Parte 3 - GROUP BY
Estatística Básica,Intro e Bônus - Relatórios Interativos
Estatística Básica,Setup para o módulo
Estatística Básica,Definições Básicas
Estatística Básica,Tipos de Dados
Estatística Básica,Medidas Centrais
Estatística Básica,Medidas de Dispersão
Estatística Básica,Amplitude
Estatística Básica,IQR - Intervalo Interquartil
Análise de Qualidade de Dados,Introdução: Por que a Qualidade dos Dados é importante?
Análise de Qualidade de Dados,Criando e Utilizando um Dicionário de Dados
Análise de Qualidade de Dados,Estratégia para Análise de Qualidade de Dados
Análise de Qualidade de Dados,Análise de Qualidade de Dados Categóricos + Slides
Análise de Qualidade de Dados,Análise de Qualidade de Dados Numéricos
Análise de Qualidade de Dados,Análise de Qualidade de Dados Tipo Texto
Análise de Qualidade de Dados,Análise de Qualidade de Dados Tipo Data
Análise de Qualidade de Dados,Dados Faltantes e Imputação de Dados + Slides
Análise de Qualidade de Dados,Tratamento de Outliers
Análise de Hipóteses,Introdução
Análise de Hipóteses,Literatura recomendada
Análise de Hipóteses,Introdução à Análise de Hipóteses
Análise de Hipóteses,Por que usar Testes de Hipóteses?
Análise de Hipóteses,Hipótese Nula (H0) e Alternativa (H1)
Análise de Hipóteses,Qual é a decisão em um Teste de Hipóteses?
Análise de Hipóteses,Testes Paramétricos e Não Paramétricos
Análise de Hipóteses,Testes Pareados e Não Pareados
Análise de Hipóteses,Tipos de Testes (Explicação Geral)
Análise de Hipóteses,Testes para Diferenças de Proporções
Análise de Hipóteses,Testes para Diferenças com uma Amostra (one sample)
Análise de Hipóteses,Testes para Diferenças com duas Amostras (two sample)
Análise de Hipóteses,Testes para Diferenças Entre Mais de Dois Grupos
Análise de Hipóteses,Conclusão: Fluxograma para saber qual teste aplicar
Principais Modelos de Machine Learning,O que é Machine Learning?
Principais Modelos de Machine Learning,Tipos de Análises de Dados
Principais Modelos de Machine Learning,Tipos de Aprendizado de Máquina
Principais Modelos de Machine Learning,Exemplos de aplicação de ML
Principais Modelos de Machine Learning,Workflow de Machine Learning
Principais Modelos de Machine Learning,Principais Modelos de Machine Learning
Análise Financeira Avançada com R,Data Science Business Canva
Análise Financeira Avançada com R,Aplicação do Canvas em Case prático
Encontros Ao Vivo,02-05-2024 - O que é Ciência de Dados?
Encontros Ao Vivo,09-05-2024 - Como fazer meu primeiro relatório em R?
Encontros Ao Vivo,16-05-2024 - Carreira + Criando a primeira Hipótese de Negócio
Encontros Ao Vivo,21-05-2024 - [CASE E-COMMERCE] Parte 1 - Estruturação dos dados
Encontros Ao Vivo,28-05-2024 - Hard Skills comuns em vagas / visão geral mercado de trabalho
Encontros Ao Vivo,04-06-2024 - Revisão e Dicas Práticas de GIT + GitHub, Gitlab, etc
Encontros Ao Vivo,11-06-2024 - [Data Science Business Canva] - Exemplo prática com case de Ecommerce - parte 01
Encontros Ao Vivo,20-06-2024 - [ESTATÍSTICA - Aula 01] - Estatísticas Descritivas
Encontros Ao Vivo,22-06-2024 - [AULA MASTER] LinkedIn e CV
Encontros Ao Vivo,27-06-2024 - [Data Science Business Canva] - Exemplo prática com case de Ecommerce - parte 02
Encontros Ao Vivo,04-07-2024 - [Estatística] Correlação
Transição de Carreira Segura,Introdução
Transição de Carreira Segura,Como vai funcionar o Módulo
Transição de Carreira Segura,Domine suas Finanças: Controle Financeiro
Transição de Carreira Segura,Estimando seus Gastos Mensais: Orçamento Financeiro Pessoal
Transição de Carreira Segura,Seu Colchão Financeiro: Reserva de Emergência
Transição de Carreira Segura,Se Livrando das Dívidas
Transição de Carreira Segura,Economizar e Investir
Transição de Carreira Segura,Seguros: Protegendo Você e Sua Família
Transição de Carreira Segura,Acertando nas Decisões Financeiras: Finanças Comportamentais
Transição de Carreira Segura,Conclusão
