Mês,Data Science,Machine Learning,Data Analysis
2010-01,4,6,21
2010-02,4,6,23
2010-03,4,6,27
2010-04,4,7,27
2010-05,3,6,23
2010-06,3,6,22
2010-07,3,5,20
2010-08,3,5,20
2010-09,4,6,22
2010-10,4,6,23
2010-11,4,7,24
2010-12,3,6,19
2011-01,4,6,23
2011-02,4,7,23
2011-03,4,7,25
2011-04,4,7,26
2011-05,3,6,23
2011-06,3,6,21
2011-07,3,5,19
2011-08,3,6,20
2011-09,5,8,24
2011-10,4,10,25
2011-11,4,9,24
2011-12,3,8,20
2012-01,4,7,21
2012-02,4,8,26
2012-03,4,8,26
2012-04,4,9,27
2012-05,4,8,24
2012-06,3,8,20
2012-07,3,8,21
2012-08,4,8,23
2012-09,6,9,27
2012-10,5,8,27
2012-11,5,8,26
2012-12,4,7,20
2013-01,5,8,24
2013-02,5,8,27
2013-03,5,8,26
2013-04,6,10,28
2013-05,5,9,25
2013-06,5,8,22
2013-07,4,8,21
2013-08,6,8,23
2013-09,8,9,26
2013-10,7,11,27
2013-11,7,10,26
2013-12,6,9,21
2014-01,8,11,25
2014-02,8,11,28
2014-03,7,11,29
2014-04,7,12,31
2014-05,9,10,25
2014-06,7,11,24
2014-07,7,11,22
2014-08,9,11,22
2014-09,10,12,28
2014-10,10,14,28
2014-11,9,13,31
2014-12,9,13,24
2015-01,11,14,26
2015-02,11,16,29
2015-03,11,16,31
2015-04,10,17,30
2015-05,11,16,28
2015-06,12,17,25
2015-07,11,17,23
2015-08,14,17,25
2015-09,17,19,29
2015-10,16,21,30
2015-11,14,23,28
2015-12,14,22,25
2016-01,16,21,24
2016-02,15,22,29
2016-03,16,24,32
2016-04,16,25,32
2016-05,17,25,30
2016-06,17,26,26
2016-07,16,24,23
2016-08,18,25,23
2016-09,22,29,28
2016-10,20,31,30
2016-11,22,35,29
2016-12,20,33,28
2017-01,25,38,27
2017-02,26,41,32
2017-03,28,44,35
2017-04,27,44,34
2017-05,27,47,30
2017-06,26,49,26
2017-07,26,47,23
2017-08,28,47,26
2017-09,33,52,31
2017-10,33,58,33
2017-11,34,59,32
2017-12,30,55,27
2018-01,37,57,29
2018-02,37,58,33
2018-03,36,65,33
2018-04,36,62,33
2018-05,38,61,31
2018-06,37,62,27
2018-07,38,61,25
2018-08,39,60,27
2018-09,42,62,30
2018-10,45,67,30
2018-11,43,65,30
2018-12,36,66,25
2019-01,47,64,27
2019-02,47,68,32
2019-03,48,66,33
2019-04,46,66,32
2019-05,48,66,29
2019-06,50,68,26
2019-07,54,71,27
2019-08,56,69,26
2019-09,60,76,32
2019-10,55,73,32
2019-11,55,73,32
2019-12,51,67,27
2020-01,61,73,28
2020-02,61,76,33
2020-03,53,63,31
2020-04,55,67,32
2020-05,56,69,30
2020-06,58,67,30
2020-07,60,68,27
2020-08,61,64,27
2020-09,62,70,34
2020-10,54,59,32
2020-11,48,56,29
2020-12,46,57,26
2021-01,48,52,26
2021-02,49,56,31
2021-03,52,59,32
2021-04,51,60,34
2021-05,51,60,32
2021-06,52,60,33
2021-07,53,60,28
2021-08,54,55,27
2021-09,58,60,32
2021-10,57,63,32
2021-11,56,61,34
2021-12,56,61,32
2022-01,70,75,39
2022-02,77,87,51
2022-03,80,93,54
2022-04,79,93,54
2022-05,77,93,52
2022-06,80,90,47
2022-07,78,83,39
2022-08,82,80,39
2022-09,85,89,45
2022-10,73,88,43
2022-11,79,96,49
2022-12,69,86,43
2023-01,78,89,46
2023-02,78,94,49
2023-03,79,92,49
2023-04,71,88,49
2023-05,81,89,50
2023-06,85,84,47
2023-07,82,87,39
2023-08,86,88,42
2023-09,84,88,46
2023-10,80,95,48
2023-11,72,89,47
2023-12,68,87,43
2024-01,86,100,47
2024-02,89,100,50
2024-03,80,99,52
2024-04,80,98,54
